Posição;Município;IBGE;Descrição Faixa;Prestadores;Serviços;Natureza Jurídica;POP_TOT;POP_URB;Ano;IDAA;IDES;IDRS;IDAP;INSA;Desempenho;Cod_Prestador
404;Palma;3146701;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31467011] Prefeitura Municipal de Palma - PMP | [31467040] PREFEITURA MUNICIPAL DE PALMA - PMP;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;5707;;2022;0,3014256619144603;0,4445528455284553;0,5175572519083969;0,31701680672268917;0,39513814151850046;Baixo;31062000
405;Acaiaca;3100401;1 - De 1 até 30.000 hab.;[31004011] Prefeitura Municipal de Acaiaca - PMA | [31004040] Prefeitura Municipal de Acaiaca - PMA;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;3909;;2022;0,2960325534079349;0,46880000000000005;0,5232974910394266;0,2909663865546219;0,3947741077504959;Baixo;31004011
406;Candeias;3112000;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31120011] Prefeitura Municipal de Candeias - PMC | [31120040] PREFEITURA MUNICIPAL DE CANDEIAS - PMC;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;14001;;2022;0,40366598778004076;0,3825454545454546;0,2414634146341464;0,5478991596638655;0,39389350415587676;Baixo;31062000
407;Formiga;3126109;2 - De 30.001 até 100.000 hab.;[31261011] Serviço Autônomo de Água e Esgoto - SAAE | [31261040] Secretaria Municipal de Gestão Ambiental - SGA;Água e Esgoto | Res. Sólidos;Autarquia | Administração pública direta;68248;;2022;0,33406593406593416;0,424626006904488;0,369147005444646;0,44369747899159667;0,3928841063516662;Baixo;31261011
408;Soledade de Minas;3167806;1 - De 1 até 30.000 hab.;[31678011] SAAE - Serviço Autônomo de Água e Esgoto - SAAE | [31678040] PREFEITURA MUNICIPAL DE SOLEDADE DE MINAS - PREF SOLEDADE;Água e Esgoto | Res. Sólidos;Autarquia | Administração pública direta;5613;;2022;0,2230142566191446;0,7169159953970081;0,4220224719101124;0,20840336134453782;0,39258902131770074;Baixo;31678011
409;Piedade do Rio Grande;3150307;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31503011] Prefeitura Municipal de Piedade do Rio Grande - PMPRG | [31503040] Prefeitura Municipal Piedade do Rio Grande/MG - PMPRG;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;4604;;2022;0,22281059063136452;0,7650909090909092;0,10465949820788531;0,4775210084033613;0,39252050158338003;Baixo;31062000
410;Marmelópolis;3140407;1 - De 1 até 30.000 hab.;[31404011] Prefeitura Municipal de Marmelópolis - PMM | [31404040] Prefeitura Municipal de Marmelópolis - PMM;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;3200;;2022;0,4443556443556445;0,4582278481012659;0,19685393258426964;0,46974789915966386;0,392296331050211;Baixo;31404011
411;Conquista;3118205;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31182040] Secretaria Municipal de Obras e Serviços Públicos - SMOSP;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;6694;;2022;0,35600814663951125;0,23560000000000003;0,48044943820224717;0,49579831932773116;0,39196397604237243;Baixo;31062000
412;Carneirinho;3114550;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31145540] Prefeitura Municipal de Carneirinho - PMC;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;9422;;2022;0,36578411405295314;0,2192;0,48546255506607944;0,49579831932773116;0,39156124711169094;Baixo;31062000
413;Caparaó;3112109;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31121011] Prefeitura Municipal de Caparaó - PMC | [31121040] Prefeitura Municipal de Caparaó - pmc;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;5048;;2022;0,3254582484725051;0,623;0,3568281938325992;0,2605042016806723;0,3914476609964441;Baixo;31062000
414;Mata Verde;3140555;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31405540] Prefeitura Municipal de Mata Verde - PMMV;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;9112;;2022;0,34465534465534475;0,2544;0,7906810035842295;0,1739495798319328;0,3909214820178768;Baixo;31062000
415;Santa Rita do Sapucaí;3159605;2 - De 30.001 até 100.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31596040] Prefeitura Municipal de Santa Rita do Sapucaí - PMSRS;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;40635;;2022;0,4232179226069246;0,2414;0,6186379928315413;0,278781512605042;0,39050935701087697;Baixo;31062000
416;São José da Barra;3162948;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31629411] Prefeitura Municipal de São José da Barra - PMSJB | [31629440] Prefeitura Municipal de São José da Barra - PMSJB;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;7793;;2022;0,2321792260692464;0,6444919786096256;0,5379134860050891;0,14696296296296296;0,39038691341173104;Baixo;31062000
417;Camacho;3110400;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31104011] Prefeitura Municipal de Camacho - PMC | [31104040] Prefeitura Municipal de Camacho - PMC;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;2838;;2022;0,17311608961303462;0,7058688147295743;0,27999999999999997;0,39936974789915963;0,3895886630604421;Baixo;31062000
418;Pouso Alto;3152600;1 - De 1 até 30.000 hab.;[31526040] Prefeitura Municipal de Pouso Alto - PMPA;Res. Sólidos;Administração pública direta;6566;;2022;;;0,5698175787728027;0,20840336134453782;0,3891104700586703;Baixo;31526040
419;Diogo de Vasconcelos;3121704;1 - De 1 até 30.000 hab.;[31217011] Prefeitura Municipal de Diogo de Vasconcelos - PMDV | [31217040] Prefeitura Municipal de Diogo de Vasconcelos - PMDV;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;3549;;2022;0,3341991341991342;0,294;0,32808988764044944;0,6;0,3890722554598959;Baixo;31217011
420;Mato Verde;3141009;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31410011] Prefeitura Municipal de Mato Verde - PMMV | [31410040] PREFEITURA MUNICIPAL DE MATO VERDE - PMMV;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;12038;;2022;0,39877800407331976;0,09333333333333334;0,7427312775330398;0,32121848739495795;0,3890152755836627;Baixo;31062000
421;Delta;3121258;1 - De 1 até 30.000 hab.;[31212511] Prefeitura Municipal de Delta - PMD | [31212540] Prefeitura Municipal de Delta - PMD;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;10494;;2022;0,28631368631368637;0,5566000000000001;0,4838709677419355;0,22668067226890762;0,38836633158113243;Baixo;31212511
422;Silveirânia;3167301;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31673011] Prefeitura Municipal de Silveirania - PMS | [31673040] PREFEITURA MUNICIPAL DE SILVEIRÂNIA - PMS;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;2323;;2022;0,3694501018329939;0,8490218642117376;0,11552162849872773;0,21449579831932772;0,38712234821569674;Baixo;31062000
423;Cajuri;3110202;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31102040] Secretaria de Obras Públicas e Infraestrutura - SEOPI;Água | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;4088;;2022;0,14093686354378818;;0,1982022471910112;0,8205882352941176;0,386575782009639;Baixo;31062000
424;Fronteira;3127008;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31270040] Prefeitura Municipal de Fronteira - PMF;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;14540;;2022;0,4035964035964037;0,2544;0,5148936170212766;0,37331932773109244;0,38655233708719317;Baixo;31062000
425;Jeceaba;3135407;1 - De 1 até 30.000 hab.;[31354011] Prefeitura Municipal de Jeceaba - PMJ | [31354040] Secretaria de Obras e Serviços Urbanos - Sec. Obras;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;6197;;2022;0,37748917748917754;0,6488;0,4072968490878939;0,11029411764705883;0,3859700360560326;Baixo;31354011
426;Botelhos;3108404;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31084040] Prefeitura Municipal de Botelhos - PMB;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;14828;;2022;0,3731160896130346;0,1686;0,4716417910447762;0,5296218487394958;0,3857449323493266;Baixo;31062000
427;Riachinho;3154457;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31544540] Prefeitura Municipal de Riachinho - PMR;Água | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;6863;;2022;0,41099796334012223;;0,7427312775330398;0,0;0,3845764136243874;Baixo;31062000
428;Rio Piracicaba;3155702;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31557011] Prefeitura Municipal de Rio Piracicaba - PMRP | [31557040] PREFEITURA MUNICIPAL DE RIO PIRACICABA - PMRP;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;14631;;2022;0,19560439560439563;0,7148000000000001;0,2965675057208238;0,3308823529411765;0,38446356356659905;Baixo;31062000
429;Bom Jesus do Galho;3107802;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31078011] Prefeitura Municipal de Bom Jesus do Galho - PMBJG | [31078040] Prefeitura Municipal de Bom Jesus do Galho - PMBJG;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;14536;;2022;0,2525458248472505;0,7866666666666666;0,14193548387096774;0,35630252100840343;0,38436262409832206;Baixo;31062000
430;Itueta;3134103;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31341011] Prefeitura Municipal de Itueta - PMI | [31341040] Prefeitura Municipal de Itueta - PMI;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;6055;;2022;0,26924643584521385;0,4261818181818182;0,07136563876651984;0,7684873949579833;0,3838203219378838;Baixo;31062000
431;Campina Verde;3111101;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31111040] Município de Campina Verde - PMCV;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;18011;;2022;0,31728271728271734;0,24900000000000003;0,3689567430025445;0,6;0,3838098650713154;Baixo;31062000
432;Lamim;3137908;1 - De 1 até 30.000 hab.;[31379011] Prefeitura Municipal de Lamim - PML | [31379040] Prefeitura Municipal de Lamim - PML;Água | Res. Sólidos;Administração pública direta | Administração pública direta;3184;;2022;0,37350993377483444;;0,3573170731707318;0,4205882352941177;0,38380508074656133;Baixo;31379011
