Posição;Município;IBGE;Descrição Faixa;Prestadores;Serviços;Natureza Jurídica;POP_TOT;POP_URB;Ano;IDAA;IDES;IDRS;IDAP;INSA;Desempenho;Cod_Prestador
1;Nova Ponte;3145000;1 - De 1 até 30.000 hab.;[31450011] Prefeitura Municipal de Nova Ponte - DMAE | [31450040] PREFEITURA MUNICIPAL DE NOVA PONTE - PMNP;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;15800;13554,0;2020;0,6439918533604888;0,6980437284234753;0,48980322003577803;0,7827655310621242;0,6536510832204666;Alto;31450011
2;Carmópolis de Minas;3114501;1 - De 1 até 30.000 hab.;[31145011] Serviço de Saneamento Ambiental Municipal - SESAM | [31145040] Serviço de Saneamento Ambiental Municipal - SESAM;Água e Esgoto | Res. Sólidos;Autarquia | Autarquia;19559;13562,0;2020;0,48391038696537675;0,7412;0,7742828882294757;0,6052104208416834;0,651150924009134;Alto;31145011
3;Poços de Caldas;3151800;3 - De 100.001 até 250.000 hab.;[31518011] Departamento Municipal de Água e Esgoto - DMAE | [31518040] SECRETARIA MUNICIPAL DE SERVIÇOS PÚBLICOS - SMSP;Água e Esgoto | Res. Sólidos;Autarquia | Administração pública direta;168641;164533,0;2020;0,3746253746253747;0,8332;0,7299703264094954;0,6364729458917836;0,6435671617316635;Alto;31518011
4;Itaú de Minas;3133758;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31337511] Prefeitura Municipal de Itaú de Minas - PMIM | [31337540] PREFEITURA MUNICIPAL DE ITAÚ DE MINAS - PMIM;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;16199;15784,0;2020;0,40610997963340123;0,6956;0,7162717219589259;0,7110220440881764;0,6322509364201259;Alto;31062000
5;Olímpio Noronha;3145505;1 - De 1 até 30.000 hab.;[31455011] Prefeitura Municipal de Olímpio Noronha - PMON | [31455040] PREFEITURA MUNICIPAL DE OLÍMPIO NORONHA - PMON;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;2809;2494,0;2020;0,5662251655629139;0,8211764705882352;0,46919945725915874;0,6585170340681363;0,628779531869611;Alto;31455011
6;Itanhandu;3133105;1 - De 1 até 30.000 hab.;[31331011] Prefeitura Municipal de Itanhandu - PMI | [31331040] Prefeitura Municipal de Itanhandu - PMI;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;15423;12975,0;2020;0,5304695304695307;0,7554471544715446;0,728268156424581;0,47635270541082164;0,6226343866941195;Alto;31331011
7;Sacramento;3156908;1 - De 1 até 30.000 hab.;[31569011] Serviço Autônomo de Água e Esgoto de Sacramento - SAAE | [31569040] Secretaria Municipal de Meio Ambiente - SMMA;Água e Esgoto | Res. Sólidos;Autarquia | Administração pública direta;26374;21274,0;2020;0,5390609390609392;0,6659999999999999;0,5434579439252336;0,7330661322645291;0,6203962538126755;Alto;31569011
8;Alterosa;3102001;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31020011] Prefeitura Municipal de Alterosa - PMA;Esgotos | Água;Administração pública direta | Sociedade de economia mista com administração pública;14517;10585,0;2020;0,36334012219959266;0,713170731707317;;0,7827655310621242;0,619758794989678;Alto;31062000
9;São Bento Abade;3160801;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31608011] Prefeitura Municipal de São Bento Abade - PMSBA | [31608040] PREFEITURA MUNICIPAL - MG;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;5349;4953,0;2020;0,5417515274949084;0,8211764705882352;0,3934871099050203;0,7110220440881764;0,6168592880190851;Alto;31062000
10;Guaranésia;3128303;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31283011] Prefeitura Municipal de Guaranésia - PMG | [31283040] Prefeitura Municipal de Guaranésia - PMG;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;19017;17109,0;2020;0,4806517311608961;0,7052;0,6436868686868686;0,6088176352705411;0,6095890587795765;Alto;31062000
11;Pingo-d Água;3150539;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31505311] Prefeitura Municipal de Pingo-D'Água - PMPA | [31505340] Prefeitura Municipal de Pingo D`Água - PMPA;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;4986;4552,0;2020;0,5142857142857145;0,7710569105691056;0,5323854660347551;0,6080160320641282;0,6064360307384259;Alto;31062000
12;Pará de Minas;3147105;2 - De 30.001 até 100.000 hab.;[31471011] Águas de Pará de Minas S. A. - CAPAM | [31471040] PREFEITURA MUNICIPAL DE PARÁ DE MINAS - PMPM;Água e Esgoto | Res. Sólidos;Empresa privada | Administração pública direta;94808;89611,0;2020;0,6043956043956046;0,6696000000000001;0,7665677546983184;0,38096192384769534;0,6053813207354046;Alto;31471011
13;Cristais;3120201;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31202011] Prefeitura Municipal de Cristais - PMC | [31202040] Prefeitura Municipal de Cristais - PMC;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;12931;10134,0;2020;0,42362525458248473;0,728780487804878;0,48440366972477067;0,7827655310621242;0,6048937357935644;Alto;31062000
