Posição;Município;IBGE;Descrição Faixa;Prestadores;Serviços;Natureza Jurídica;POP_TOT;POP_URB;Ano;IDAA;IDES;IDRS;IDAP;INSA;Desempenho;Cod_Prestador
443;Guimarânia;3128907;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31289040] SECRETARIA MUNICIPA DE OBRAS - SMOP;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;8478;6660,0;2020-2022;0,38940936863543785;0,28040000000000004;0,359952606635071;0,48897795591182364;0,37968498279558316;Baixo;31062000
444;Raposos;3153905;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA;Água e Esgoto;Sociedade de economia mista com administração pública;16279;15651,0;2020-2022;0,42037962037962046;0,2234;0,44715789473684214;0,42665330661322654;0,3793977054324223;Baixo;31062000
445;Sericita;3166303;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31663040] Prefeitura Municipal de Sericita - PMS;Água | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;7345;3829,0;2020-2022;0,3164969450101833;;0,4383233532934132;0,38298319327731095;0,37926783052696916;Baixo;31062000
446;Coimbra;3116704;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31167011] Prefeitura Municipal de Coimbra - PMC | [31167040] Prefeitura Municipal de Coimbra - PMC;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;7117;5578,0;2020-2022;0,2755600814663951;0,5332000000000001;0,3770142180094786;0,3294589178356713;0,37880830432788626;Baixo;31062000
447;Perdões;3149903;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31499040] Prefeitura Municipal de Perdões - PMP;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;21384;19095,0;2020-2022;0,405295315682281;0,3068;0,4645861601085481;0,33687374749499;0,37838880582145473;Baixo;31062000
448;São Sebastião do Anta;3164472;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31644711] Prefeitura Municipal de São Sebastião do Anta - PMSSA | [31644740] Secretaria de Obras, Serviços Públicos e Meio Ambiente - SO;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;6194;4913,0;2020-2022;0,25132382892057026;0,40552845528455284;0,4298947368421052;0,42665330661322654;0,3783500819151137;Baixo;31062000
449;Carneirinho;3114550;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31145540] Prefeitura Municipal de Carneirinho - PMC;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;9422;7440,0;2020-2022;0,444806517311609;0,2096;0,3549473684210526;0,5006012024048097;0,3774887720343678;Baixo;31062000
450;Campina Verde;3111101;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31111040] Município de Campina Verde - PMCV;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;18011;14758,0;2020-2022;0,28991008991009;0,24900000000000003;0,34852652259332023;0,6220440881763527;0,37737017516994076;Baixo;31062000
451;Santana do Riacho;3159001;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31590011] Prefeitura Municipal de Santana do Riacho - PMSR | [31590040] Prefeitura Municipal de Santana do Riacho - PMSR;Água | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;5313;2455,0;2020-2022;0,43722943722943725;;0,43468395461912485;0,2567134268537074;0,37620893956742313;Baixo;31062000
452;Pedra Dourada;3149002;1 - De 1 até 30.000 hab.;[31490011] Prefeitura Municipal de Pedra Dourada - PMPD | [31490040] Prefeitura Municipal de Pedra Dourada - PMPD;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;2757;1520,0;2020-2022;0,2950276243093922;0,40227642276422765;0,42821052631578943;0,3769539078156313;0,37561712030126015;Baixo;31490011
